"IndividualId","Time [min]","Organism|A|Concentration [µmol/l]"
3,105,1.244131
3,120,1.276511
3,135,1.308287
3,150,1.339492
3,165,1.370108
3,180,1.400168
3,195,1.429677
3,210,1.458636
3,225,1.487048
3,240,1.514939
3,255,1.542313
3,270,1.569176
3,285,1.595537
3,300,1.621412
3,315,1.64681
3,330,1.67174
3,345,1.696211
3,360,1.720229
3,375,1.743806
3,390,1.766951
3,405,1.789674
3,420,1.811974
3,435,1.833865
3,450,1.855355
3,465,1.876451
3,480,1.897156
3,495,1.91748
3,510,1.93743
3,525,1.957013
3,540,1.976234
3,555,1.9951
3,570,2.013619
3,585,2.031797
3,600,2.049639
3,615,2.067152
3,630,2.084343
3,645,2.101217
3,660,2.117779
3,675,2.134037
3,690,2.149995
3,705,2.165659
3,720,2.181034
3,735,2.196126
3,750,2.21094
3,765,2.225481
3,780,2.239754
3,795,2.253763
3,810,2.267515
3,825,2.281015
3,840,2.294264
3,855,2.307269
3,870,2.320035
3,885,2.332566
3,900,2.344866
3,915,2.356938
3,930,2.368789
3,945,2.380421
3,960,2.391839
3,975,2.403046
3,990,2.414047
3,1005,2.424845
3,1020,2.435444
3,1035,2.445848
3,1050,2.45606
3,1065,2.466084
3,1080,2.475923
3,1095,2.48558
3,1110,2.49506
3,1125,2.504366
3,1140,2.513499
3,1155,2.522465
3,1170,2.531265
3,1185,2.539903
3,1200,2.548381
3,1215,2.556703
3,1230,2.564872
3,1245,2.57289
3,1260,2.58076
3,1275,2.588485
3,1290,2.596067
3,1305,2.603511
3,1320,2.610816
3,1335,2.617987
3,1350,2.625026
3,1365,2.631936
3,1380,2.638717
3,1395,2.645374
3,1410,2.651909
3,1425,2.658323
3,1440,2.664618
4,0,2
4,15,2.055588
4,30,2.110245
4,45,2.163916
4,60,2.216601
4,75,2.268341
4,90,2.319116
4,105,2.368934
4,120,2.417866
4,135,2.465874
4,150,2.512973
4,165,2.559233
4,180,2.604616
4,195,2.64914
4,210,2.69287
4,225,2.735768
4,240,2.777857
4,255,2.819192
4,270,2.85974
4,285,2.899521
4,300,2.938578
4,315,2.976898
4,330,3.014488
4,345,3.05137
4,360,3.087573
4,375,3.123099
4,390,3.157959
4,405,3.192169
4,420,3.225743
4,435,3.258693
4,450,3.291033
4,465,3.322774
4,480,3.353921
4,495,3.384492
4,510,3.414498
4,525,3.443947
4,540,3.472847
4,555,3.501211
4,570,3.529051
4,585,3.556374
4,600,3.583187
4,615,3.609503
4,630,3.63533
4,645,3.660679
4,660,3.685555
4,675,3.70997
4,690,3.733932
4,705,3.757449
4,720,3.780527
4,735,3.803177
4,750,3.825408
4,765,3.847225
4,780,3.868636
4,795,3.88965
4,810,3.910274
4,825,3.930516
4,840,3.95038
4,855,3.969875
4,870,3.989009
4,885,4.007788
4,900,4.026217
4,915,4.044303
4,930,4.062055
4,945,4.079477
4,960,4.096574
4,975,4.113354
4,990,4.129823
4,1005,4.145987
4,1020,4.161849
4,1035,4.177416
4,1050,4.192695
4,1065,4.207691
4,1080,4.222406
4,1095,4.236849
4,1110,4.251024
4,1125,4.264936
4,1140,4.278589
4,1155,4.291988
4,1170,4.30514
4,1185,4.318046
4,1200,4.330712
4,1215,4.343143
4,1230,4.355343
4,1245,4.367317
4,1260,4.379068
4,1275,4.3906
4,1290,4.401919
4,1305,4.413028
4,1320,4.423929
4,1335,4.434628
4,1350,4.445129
4,1365,4.455436
4,1380,4.465549
4,1395,4.475476
4,1410,4.485218
4,1425,4.49478
4,1440,4.504163
5,0,3
5,15,3.074694
5,30,3.148134
5,45,3.220239
5,60,3.291007
5,75,3.360503
5,90,3.428698
5,105,3.495589
5,120,3.56128
5,135,3.625739
5,150,3.688953
5,165,3.751023
5,180,3.811936
5,195,3.87167
5,210,3.930311
